scope,subset,config,family,k,stat,n,mae,bias,rel_mae_vs_no_adjustment,coef,gamma
player,season_2024-25,P3_kpick,P3,pick,OREB,4774.0,0.9053229382255386,-0.12508621438428874,0.9977319472733457,,
player,season_2024-25,P3_kpick,P3,pick,POOLED,4774.0,,,0.9932984899099436,,
player,season_2024-25,P2s_comb_k0,P2s_comb,0,PTS,4774.0,5.8264959705471275,-0.13966945254484234,1.0226516789699085,,
player,season_2024-25,P2s_comb_k0,P2s_comb,0,AST,4774.0,1.7402351994720935,-0.09827280561788916,1.027806016978843,,
player,season_2024-25,P2s_comb_k0,P2s_comb,0,REB,4774.0,2.11990828281806,0.0008091729815179032,1.0308818423757333,,
player,season_2024-25,P2s_comb_k0,P2s_comb,0,STL,4774.0,0.8591833078519721,-0.13207734488744,1.0370972677587829,,
player,season_2024-25,P2s_comb_k0,P2s_comb,0,BLK,4774.0,0.5754634462385991,-0.03959851882003,1.0037497405026397,,
player,season_2024-25,P2s_comb_k0,P2s_comb,0,FG3M,4774.0,1.1713098319964466,-0.0464974780201724,1.0402016953529423,,
player,season_2024-25,P2s_comb_k0,P2s_comb,0,TOV,4774.0,1.1194501207019123,-0.05146449148159278,1.0336306565019984,,
player,season_2024-25,P2s_comb_k0,P2s_comb,0,FG3A,4774.0,1.9124649582693667,0.046648204110089644,1.0418455333710324,,
player,season_2024-25,P2s_comb_k0,P2s_comb,0,OREB,4774.0,0.9388169974723842,-0.12059928787104304,1.0346448449184056,,
player,season_2024-25,P2s_comb_k0,P2s_comb,0,POOLED,4774.0,,,1.0302788085255872,,
player,season_2024-25,P2s_comb_k10,P2s_comb,10,PTS,4774.0,5.650444937508948,-0.5068902440993073,0.9917516516754634,,
player,season_2024-25,P2s_comb_k10,P2s_comb,10,AST,4774.0,1.6927838382461886,-0.17394800479227787,0.999780612943448,,
player,season_2024-25,P2s_comb_k10,P2s_comb,10,REB,4774.0,2.0497473353288664,-0.16041301145608763,0.9967635517889634,,
player,season_2024-25,P2s_comb_k10,P2s_comb,10,STL,4774.0,0.8294362581551412,-0.16515431795059127,1.0011903970333762,,
player,season_2024-25,P2s_comb_k10,P2s_comb,10,BLK,4774.0,0.5525429018609338,-0.12016806958629313,0.9637706755913266,,
player,season_2024-25,P2s_comb_k10,P2s_comb,10,FG3M,4774.0,1.134496871555881,-0.1471080165047311,1.0075093172859295,,
player,season_2024-25,P2s_comb_k10,P2s_comb,10,TOV,4774.0,1.0903225775425855,-0.1307273837347317,1.0067360937150582,,
player,season_2024-25,P2s_comb_k10,P2s_comb,10,FG3A,4774.0,1.84590244460041,-0.11125380491418387,1.005584551303834,,
player,season_2024-25,P2s_comb_k10,P2s_comb,10,OREB,4774.0,0.909651527469341,-0.15469522306636233,1.0025023685151078,,
player,season_2024-25,P2s_comb_k10,P2s_comb,10,POOLED,4774.0,,,0.9972876910947231,,
player,season_2024-25,P2s_comb_k20,P2s_comb,20,PTS,4774.0,5.631987333857382,-0.5204422531487088,0.988512020264157,,
player,season_2024-25,P2s_comb_k20,P2s_comb,20,AST,4774.0,1.6874275122706792,-0.17469654910966714,0.9966170956969294,,
player,season_2024-25,P2s_comb_k20,P2s_comb,20,REB,4774.0,2.0456618494968257,-0.14092897156115525,0.994776836988295,,
player,season_2024-25,P2s_comb_k20,P2s_comb,20,STL,4774.0,0.8259569145924693,-0.14958008495679884,0.9969905741673308,,
player,season_2024-25,P2s_comb_k20,P2s_comb,20,BLK,4774.0,0.547784943146573,-0.14914544984344455,0.9554716257453668,,
player,season_2024-25,P2s_comb_k20,P2s_comb,20,FG3M,4774.0,1.1295420279145132,-0.1555025395882039,1.0031090837907708,,
player,season_2024-25,P2s_comb_k20,P2s_comb,20,TOV,4774.0,1.085798975828918,-0.13652455110394687,1.0025592810794761,,
player,season_2024-25,P2s_comb_k20,P2s_comb,20,FG3A,4774.0,1.836858661395178,-0.1668074417219935,1.0006578073672165,,
player,season_2024-25,P2s_comb_k20,P2s_comb,20,OREB,4774.0,0.9066055154704863,-0.149717439975352,0.9991454409981798,,
player,season_2024-25,P2s_comb_k20,P2s_comb,20,POOLED,4774.0,,,0.9930933073441914,,
player,season_2024-25,P2s_comb_k40,P2s_comb,40,PTS,4774.0,5.629431937010474,-0.613373664925255,0.9880635035417331,,
player,season_2024-25,P2s_comb_k40,P2s_comb,40,AST,4774.0,1.6853555669378417,-0.16681541854906617,0.9953933772704847,,
player,season_2024-25,P2s_comb_k40,P2s_comb,40,REB,4774.0,2.047115427420828,-0.1733230287082884,0.9954836916670927,,
player,season_2024-25,P2s_comb_k40,P2s_comb,40,STL,4774.0,0.8248958429383655,-0.14317446816737667,0.9957097828585256,,
player,season_2024-25,P2s_comb_k40,P2s_comb,40,BLK,4774.0,0.5441621963151679,-0.17051893373086097,0.9491526645399284,,
player,season_2024-25,P2s_comb_k40,P2s_comb,40,FG3M,4774.0,1.126875059507841,-0.16687550076243401,1.000740636961169,,
player,season_2024-25,P2s_comb_k40,P2s_comb,40,TOV,4774.0,1.0833965769645024,-0.13065526556806398,1.0003410553010479,,
player,season_2024-25,P2s_comb_k40,P2s_comb,40,FG3A,4774.0,1.8328794553823118,-0.17800587535191595,0.9984900719569849,,
player,season_2024-25,P2s_comb_k40,P2s_comb,40,OREB,4774.0,0.9053443746897357,-0.1358723516810892,0.9977555718212977,,
player,season_2024-25,P2s_comb_k40,P2s_comb,40,POOLED,4774.0,,,0.9912367062131403,,
player,season_2024-25,P2s_comb_k80,P2s_comb,80,PTS,4774.0,5.633541618478123,-0.6803030342824461,0.9887848243277026,,
player,season_2024-25,P2s_comb_k80,P2s_comb,80,AST,4774.0,1.685979893955404,-0.18013277580382098,0.9957621130973475,,
player,season_2024-25,P2s_comb_k80,P2s_comb,80,REB,4774.0,2.0500554297950497,-0.15455717000719385,0.9969133738324447,,
player,season_2024-25,P2s_comb_k80,P2s_comb,80,STL,4774.0,0.8247109249675164,-0.136651884415624,0.9954865733052505,,
player,season_2024-25,P2s_comb_k80,P2s_comb,80,BLK,4774.0,0.5447020866966957,-0.1601722448473038,0.9500943661091602,,
player,season_2024-25,P2s_comb_k80,P2s_comb,80,FG3M,4774.0,1.1254566839988804,-0.1543596549234034,0.9994810243729668,,
player,season_2024-25,P2s_comb_k80,P2s_comb,80,TOV,4774.0,1.0826477666130874,-0.12858381138334452,0.999649650368559,,
player,season_2024-25,P2s_comb_k80,P2s_comb,80,FG3A,4774.0,1.8320149486757684,-0.20911419143340687,0.998019118255644,,
player,season_2024-25,P2s_comb_k80,P2s_comb,80,OREB,4774.0,0.9049245810490435,-0.14080902830424594,0.9972929285932339,,
player,season_2024-25,P2s_comb_k80,P2s_comb,80,POOLED,4774.0,,,0.9912759969180343,,
player,season_2024-25,P2s_comb_k160,P2s_comb,160,PTS,4774.0,5.638943106399375,-0.721244489432429,0.9897328796802725,,
player,season_2024-25,P2s_comb_k160,P2s_comb,160,AST,4774.0,1.6874993240279434,-0.18859042125811762,0.9966595086743409,,
player,season_2024-25,P2s_comb_k160,P2s_comb,160,REB,4774.0,2.0525829746778173,-0.16613411005200576,0.9981424836701454,,
player,season_2024-25,P2s_comb_k160,P2s_comb,160,STL,4774.0,0.824886129504674,-0.12943542890718446,0.9956980580316465,,
player,season_2024-25,P2s_comb_k160,P2s_comb,160,BLK,4774.0,0.540799893124079,-0.1932739146764034,0.9432879810789612,,
player,season_2024-25,P2s_comb_k160,P2s_comb,160,FG3M,4774.0,1.125204581504996,-0.16383599787713904,0.9992571404488523,,
