season,player_id,stat,game_index,actual,blended,clean,n_playoff_rows,prior_mpg
2025-26,1631097,PTS,4,21.0,13.793048777414723,16.272118863049094,22,29.86111111111111
2025-26,1631097,AST,4,2.0,1.5281790997135682,1.9143669250645994,22,29.86111111111111
2025-26,1631097,REB,4,7.0,4.495804319157336,5.391195090439276,22,29.86111111111111
2025-26,1631097,STL,4,1.0,0.5521163198965149,0.6615826873385012,22,29.86111111111111
2025-26,1631097,BLK,4,1.0,0.30563581994271366,0.3378294573643411,22,29.86111111111111
2025-26,1631097,FG3M,4,2.0,1.1436695197856381,1.379470284237726,22,29.86111111111111
2025-26,1631097,TOV,4,3.0,1.5873344197024806,1.9002906976744187,22,29.86111111111111
2025-26,1631097,FG3A,4,7.0,3.431008559356914,4.053953488372094,22,29.86111111111111
2025-26,1631097,OREB,4,3.0,1.114091859791182,1.2246317829457365,22,29.86111111111111
2025-26,1631105,PTS,0,15.0,13.9777868086101,11.367678713039538,6,26.115384615384617
2025-26,1631105,AST,0,1.0,3.2506480950256047,2.588066286519895,6,26.115384615384617
2025-26,1631105,REB,0,6.0,12.310063003336095,9.993155469959593,6,26.115384615384617
2025-26,1631105,STL,0,1.0,0.7914621448757995,0.6686869831199728,6,26.115384615384617
2025-26,1631105,BLK,0,2.0,1.3991920061197167,1.102095212919955,6,26.115384615384617
2025-26,1631105,FG3M,0,0.0,0.0,0.0,6,26.115384615384617
2025-26,1631105,TOV,0,1.0,2.0634548777119055,1.6841005500799315,6,26.115384615384617
2025-26,1631105,FG3A,0,0.0,0.0,0.0,6,26.115384615384617
2025-26,1631105,OREB,0,4.0,4.282375533881557,3.4301165615598603,6,26.115384615384617
2025-26,1631105,PTS,1,6.0,13.9777868086101,11.367678713039538,6,26.115384615384617
2025-26,1631105,AST,1,0.0,3.2506480950256047,2.588066286519895,6,26.115384615384617
2025-26,1631105,REB,1,6.0,12.310063003336095,9.993155469959593,6,26.115384615384617
2025-26,1631105,STL,1,1.0,0.7914621448757995,0.6686869831199728,6,26.115384615384617
2025-26,1631105,BLK,1,1.0,1.3991920061197167,1.102095212919955,6,26.115384615384617
2025-26,1631105,FG3M,1,0.0,0.0,0.0,6,26.115384615384617
2025-26,1631105,TOV,1,1.0,2.0634548777119055,1.6841005500799315,6,26.115384615384617
2025-26,1631105,FG3A,1,0.0,0.0,0.0,6,26.115384615384617
2025-26,1631105,OREB,1,3.0,4.282375533881557,3.4301165615598603,6,26.115384615384617
2025-26,1631105,PTS,2,24.0,13.9777868086101,11.367678713039538,6,26.115384615384617
2025-26,1631105,AST,2,1.0,3.2506480950256047,2.588066286519895,6,26.115384615384617
2025-26,1631105,REB,2,18.0,12.310063003336095,9.993155469959593,6,26.115384615384617
2025-26,1631105,STL,2,0.0,0.7914621448757995,0.6686869831199728,6,26.115384615384617
2025-26,1631105,BLK,2,2.0,1.3991920061197167,1.102095212919955,6,26.115384615384617
2025-26,1631105,FG3M,2,0.0,0.0,0.0,6,26.115384615384617
2025-26,1631105,TOV,2,4.0,2.0634548777119055,1.6841005500799315,6,26.115384615384617
2025-26,1631105,FG3A,2,0.0,0.0,0.0,6,26.115384615384617
2025-26,1631105,OREB,2,8.0,4.282375533881557,3.4301165615598603,6,26.115384615384617
2025-26,1631105,PTS,3,8.0,13.9777868086101,11.367678713039538,6,26.115384615384617
2025-26,1631105,AST,3,2.0,3.2506480950256047,2.588066286519895,6,26.115384615384617
2025-26,1631105,REB,3,7.0,12.310063003336095,9.993155469959593,6,26.115384615384617
2025-26,1631105,STL,3,1.0,0.7914621448757995,0.6686869831199728,6,26.115384615384617
2025-26,1631105,BLK,3,2.0,1.3991920061197167,1.102095212919955,6,26.115384615384617
2025-26,1631105,FG3M,3,0.0,0.0,0.0,6,26.115384615384617
2025-26,1631105,TOV,3,4.0,2.0634548777119055,1.6841005500799315,6,26.115384615384617
2025-26,1631105,FG3A,3,0.0,0.0,0.0,6,26.115384615384617
2025-26,1631105,OREB,3,1.0,4.282375533881557,3.4301165615598603,6,26.115384615384617
2025-26,1631105,PTS,4,21.0,13.9777868086101,11.367678713039538,6,26.115384615384617
2025-26,1631105,AST,4,2.0,3.2506480950256047,2.588066286519895,6,26.115384615384617
2025-26,1631105,REB,4,13.0,12.310063003336095,9.993155469959593,6,26.115384615384617
2025-26,1631105,STL,4,0.0,0.7914621448757995,0.6686869831199728,6,26.115384615384617
2025-26,1631105,BLK,4,1.0,1.3991920061197167,1.102095212919955,6,26.115384615384617
2025-26,1631105,FG3M,4,0.0,0.0,0.0,6,26.115384615384617
2025-26,1631105,TOV,4,5.0,2.0634548777119055,1.6841005500799315,6,26.115384615384617
2025-26,1631105,FG3A,4,0.0,0.0,0.0,6,26.115384615384617
2025-26,1631105,OREB,4,6.0,4.282375533881557,3.4301165615598603,6,26.115384615384617
2025-26,1631106,PTS,0,3.0,9.82340526273372,11.254800143417036,7,24.894736842105264
2025-26,1631106,AST,0,0.0,1.1697695035460993,1.3617323788682418,7,24.894736842105264
2025-26,1631106,REB,0,6.0,5.210791424887169,5.939121941569922,7,24.894736842105264
2025-26,1631106,STL,0,0.0,1.3957477030947776,1.5914221777134874,7,24.894736842105264
2025-26,1631106,BLK,0,1.0,0.7576916102514507,0.8203207101615915,7,24.894736842105264
2025-26,1631106,FG3M,0,1.0,0.9304984687298518,1.0336040948036054,7,24.894736842105264
2025-26,1631106,TOV,0,4.0,0.9969626450676982,1.0664169232100689,7,24.894736842105264
2025-26,1631106,FG3A,0,4.0,2.69844555931657,3.018780213394656,7,24.894736842105264
2025-26,1631106,OREB,0,0.0,1.794532761121857,2.100021018013674,7,24.894736842105264
2025-26,1631106,PTS,1,4.0,9.82340526273372,11.254800143417036,7,24.894736842105264
2025-26,1631106,AST,1,2.0,1.1697695035460993,1.3617323788682418,7,24.894736842105264
2025-26,1631106,REB,1,5.0,5.210791424887169,5.939121941569922,7,24.894736842105264
2025-26,1631106,STL,1,1.0,1.3957477030947776,1.5914221777134874,7,24.894736842105264
2025-26,1631106,BLK,1,0.0,0.7576916102514507,0.8203207101615915,7,24.894736842105264
2025-26,1631106,FG3M,1,0.0,0.9304984687298518,1.0336040948036054,7,24.894736842105264
