subset,config,min_sample,k,cap,n_cases,n_moved,stat,mae,bias,rel_mae_vs_no_adjustment
all_treated,m3_k10_cap0.85-1.20,3.0,10.0,0.85-1.20,14709,12180,FG3M,1.120354088216896,-0.04832997835824,1.0095340632463607
all_treated,m3_k10_cap0.85-1.20,3.0,10.0,0.85-1.20,14709,12180,TOV,1.0806454000476466,-0.012325053032726282,1.0037734084004415
all_treated,m3_k10_cap0.85-1.20,3.0,10.0,0.85-1.20,14709,12180,FG3A,1.8034845696269486,-0.10214744425818136,1.0045691020993306
all_treated,m3_k10_cap0.85-1.20,3.0,10.0,0.85-1.20,14709,12180,OREB,0.9166744087446173,-0.011445864564944739,1.0069421309962217
all_treated,m3_k10_cap0.85-1.20,3.0,10.0,0.85-1.20,14709,12180,POOLED,,,1.0036479177371684
all_treated,m3_k20_capnone,3.0,20.0,none,14709,12180,PTS,5.557018583177426,-0.6059955610116953,0.9941308087656008
all_treated,m3_k20_capnone,3.0,20.0,none,14709,12180,AST,1.672048149718136,-0.18931059964773905,0.9964915263104056
all_treated,m3_k20_capnone,3.0,20.0,none,14709,12180,REB,2.067122651311558,-0.11757475614251955,0.9982391608236587
all_treated,m3_k20_capnone,3.0,20.0,none,14709,12180,STL,0.8198695018987677,-0.016021613925704194,1.0038856202358166
all_treated,m3_k20_capnone,3.0,20.0,none,14709,12180,BLK,0.5937821834296574,-0.006579195480340724,1.0038787413566388
all_treated,m3_k20_capnone,3.0,20.0,none,14709,12180,FG3M,1.1157977209636993,-0.06012133005412986,1.0054283898747545
all_treated,m3_k20_capnone,3.0,20.0,none,14709,12180,TOV,1.0779481280783703,-0.021490020509729056,1.0012680075743574
all_treated,m3_k20_capnone,3.0,20.0,none,14709,12180,FG3A,1.7958371776910087,-0.14828648012485887,1.0003093852268552
all_treated,m3_k20_capnone,3.0,20.0,none,14709,12180,OREB,0.9142553014330331,-0.017027090827093725,1.0042848068163408
all_treated,m3_k20_capnone,3.0,20.0,none,14709,12180,POOLED,,,1.000879605220492
all_treated,m3_k20_cap0.75-1.35,3.0,20.0,0.75-1.35,14709,12180,PTS,5.557018583177426,-0.6059955610116953,0.9941308087656008
all_treated,m3_k20_cap0.75-1.35,3.0,20.0,0.75-1.35,14709,12180,AST,1.6720455739803959,-0.18930802390999882,0.9964899912464588
all_treated,m3_k20_cap0.75-1.35,3.0,20.0,0.75-1.35,14709,12180,REB,2.067122651311558,-0.11757475614251955,0.9982391608236587
all_treated,m3_k20_cap0.75-1.35,3.0,20.0,0.75-1.35,14709,12180,STL,0.819864868762011,-0.016009621304137852,1.0038799472118098
all_treated,m3_k20_cap0.75-1.35,3.0,20.0,0.75-1.35,14709,12180,BLK,0.5937704615966898,-0.006598301280332283,1.0038589238221045
all_treated,m3_k20_cap0.75-1.35,3.0,20.0,0.75-1.35,14709,12180,FG3M,1.115784215648972,-0.0601350827522974,1.0054162204406483
all_treated,m3_k20_cap0.75-1.35,3.0,20.0,0.75-1.35,14709,12180,TOV,1.0779412586217214,-0.0215260144981679,1.0012616267782941
all_treated,m3_k20_cap0.75-1.35,3.0,20.0,0.75-1.35,14709,12180,FG3A,1.7957989264027387,-0.1483358674641905,1.000288078661244
all_treated,m3_k20_cap0.75-1.35,3.0,20.0,0.75-1.35,14709,12180,OREB,0.9142418123622242,-0.01704782805750828,1.0042699894356264
all_treated,m3_k20_cap0.75-1.35,3.0,20.0,0.75-1.35,14709,12180,POOLED,,,1.0008705274650496
all_treated,m3_k20_cap0.85-1.20,3.0,20.0,0.85-1.20,14709,12180,PTS,5.556905848846172,-0.6072607416409261,0.9941106409957386
all_treated,m3_k20_cap0.85-1.20,3.0,20.0,0.85-1.20,14709,12180,AST,1.6718475134801103,-0.189899062049606,0.9963719530127723
all_treated,m3_k20_cap0.85-1.20,3.0,20.0,0.85-1.20,14709,12180,REB,2.0671505676260495,-0.11761596877023893,0.9982526419580915
all_treated,m3_k20_cap0.85-1.20,3.0,20.0,0.85-1.20,14709,12180,STL,0.8196920060618202,-0.01610500722638461,1.0036682862357706
all_treated,m3_k20_cap0.85-1.20,3.0,20.0,0.85-1.20,14709,12180,BLK,0.5936672234325926,-0.006511493505320132,1.003684384064722
all_treated,m3_k20_cap0.85-1.20,3.0,20.0,0.85-1.20,14709,12180,FG3M,1.1156174614956191,-0.0606426209941495,1.0052659608041923
